Region Particle X Y Z Heat Error
324 neutron 190.55402049264177 6.25 74.15868665777998 0.7466490000000001 0.0292988
324 neutron 190.12772215045567 6.25 76.63446662137187 0.680571 0.029820799999999998
324 neutron 189.56055789094165 6.25 79.00134481454708 0.6819120000000001 0.029717600000000004
324 neutron 188.9808905752226 6.25 80.88812312051815 0.6596980000000001 0.029591500000000003
324 neutron 188.1577090542205 6.25 83.04672736414749 0.617248 0.0299974
324 neutron 187.19646111229707 6.25 85.08731766397331 0.601966 0.0302567
324 neutron 186.09851273537603 6.25 87.00699422952086 0.619642 0.0300037
324 neutron 184.8654241681795 6.25 88.8030290953481 0.6100380000000001 0.0296331
324 neutron -8.999997333395882 6.25 -67.5162470752587 0.20405000000000004 0.00498809
324 neutron 296.13073304814884 6.25 82.93505092811293 0.057243300000000004 0.118817
